web-1  | [05/May/2026 12:10:40] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 200 179574
web-1  | [05/May/2026 12:10:40] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:10:54] "GET /admin/tickets/ticketcomment/2592/change/ HTTP/1.1" 200 42359
web-1  | [05/May/2026 12:10:55] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:10:55] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
web-1  | [05/May/2026 12:10:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:10:57] "GET /admin/tickets/ticket/370/change/?_to_field=id HTTP/1.1" 200 35161
web-1  | [05/May/2026 12:10:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:10:58] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:13:53] "POST /admin/tickets/ticket/370/change/?_to_field=id HTTP/1.1" 302 0
web-1  | [05/May/2026 12:13:54] "GET /admin/tickets/ticket/ HTTP/1.1" 200 40378
web-1  | [05/May/2026 12:13:54] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:13:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 12:14:05] "GET /admin/tickets/ticketcomment/ HTTP/1.1" 200 71486
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:02:45
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:03:04
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:03:15
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:03:33
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:03:50
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:04:01
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:04:07
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:04:12
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:11:25
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | [05/May/2026 13:17:31] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:17:35] "GET /admin/shopify_sync/shopifyinstallation/ HTTP/1.1" 200 14737
web-1  | [05/May/2026 13:17:37] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:17:39] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:17:43] "GET /admin/shopify_sync/shopifyinstallation/ HTTP/1.1" 200 14737
web-1  | [05/May/2026 13:17:43] "GET /admin/shopify_sync/shopifyinstallation/ HTTP/1.1" 200 14737
web-1  | [05/May/2026 13:17:44] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 13:17:47] "GET /admin/tickets/ticket/ HTTP/1.1" 200 49555
web-1  | [05/May/2026 13:17:47] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 13:17:49] "GET /admin/shopify_sync/shopifyproduct/ HTTP/1.1" 200 113670
web-1  | [05/May/2026 13:17:49] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 13:18:15] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:18:16] "GET /admin/shopify_sync/shopifyproduct/ HTTP/1.1" 200 113670
web-1  | [05/May/2026 13:18:41] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:19:00] "GET /admin/shopify_sync/shopifyproduct/ HTTP/1.1" 200 113670
web-1  | [05/May/2026 13:19:31] "GET /admin/shopify_sync/settlementbatch/ HTTP/1.1" 200 14237
web-1  | [05/May/2026 13:19:31] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 13:19:32] "GET /admin/shopify_sync/shippingcostrule/ HTTP/1.1" 200 17891
web-1  | [05/May/2026 13:19:33] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | [05/May/2026 13:19:36] "GET /admin/shopify_sync/shopifyorder/ HTTP/1.1" 500 145
web-1  | [05/May/2026 13:19:37] "GET /admin/shopify_sync/shippingcostrule/ HTTP/1.1" 200 17891
web-1  | [05/May/2026 13:19:39] "GET /admin/shopify_sync/shopifyproduct/ HTTP/1.1" 200 113670
